CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Carbofuran,1563-66-2,Sep-30-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Nervous; Reproductive,None,pesticide,,Oral,Nervous; Reproductive,5 x 10 -3,RBC and plasma cholinesterase inhibition; and testicular and uterine effects,NOEL: 5 x 10-1 mg/kg-day,100,High,,,,,,,,,,,
Carbon disulfide,75-15-0,Aug-01-1995,"(PDF 30 pp, 185 K)",Not Available,Yes,Developmental; Nervous,None,,,Oral,Developmental,1 x 10 -1,Fetal toxicity/ malformations,NOEL: 1.10 x 101 mg/kg-day,100,Medium,,,,,,,,,,,
Carbon disulfide,75-15-0,Aug-01-1995,"(PDF 30 pp, 185 K)",Not Available,Yes,Developmental; Nervous,None,,,Inahlation,,,,,,,Nervous,7 x 10 -1,Peripheral nervous system dysfunction,BMC 10 (HEC): 1.97 x 101 mg/m3,30,Medium,,,,,
Carbon tetrachloride,56-23-5,Mar-31-2010,"(PDF 20 pp, 363 K)","(PDF 473 pp, 3.04 M)",No,Hepatic,Endocrine; Hepatic,,,Oral,Hepatic,4 x 10 -3,Elevated serum SDH activity,BMD 2x (ADJ): 3.9 mg/kg-day,1000,Medium,,,,,,,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), carbon tetrachloride is ""likely to be carcinogenic to humans."" This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 2 x 10-6 per µg/L
Extrapolation Method: Multistage model with linear extrapolation from the POD (LED10).
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular adenoma or carcinoma (Nagano et al., 2007b, JBRC, 1998)","Inhalation Unit Risk: 6 x 10-6 per µg/m3
Extrapolation Method: Log-probit model with linear extrapolation from the POD (LEC10).
Tumor site(s): Endocrine
Tumor type(s): Pheochromocytoma (Nagano et al. 2007b, JBRC 1998)"
Carbon tetrachloride,56-23-5,Mar-31-2010,"(PDF 20 pp, 363 K)","(PDF 473 pp, 3.04 M)",No,Hepatic,Endocrine; Hepatic,,,Inahlation,,,,,,,Hepatic,1 x 10 -1,Fatty changes in the liver,BMCL 10 (HEC): 14.3 mg/m3,100,Medium,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), carbon tetrachloride is ""likely to be carcinogenic to humans."" This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 7 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 2 x 10-6 per µg/L
Extrapolation Method: Multistage model with linear extrapolation from the POD (LED10).
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular adenoma or carcinoma (Nagano et al., 2007b, JBRC, 1998)","Inhalation Unit Risk: 6 x 10-6 per µg/m3
Extrapolation Method: Log-probit model with linear extrapolation from the POD (LEC10).
Tumor site(s): Endocrine
Tumor type(s): Pheochromocytoma (Nagano et al. 2007b, JBRC 1998)"
Carbonyl sulfide,463-58-1,Nov-01-1991,"(PDF 4 pp, 82 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Carbosulfan,55285-14-8,Jan-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,None,None,,,Oral,Other,1 x 10 -2,Decreased body weight,NOEL: 1 mg/kg-day,100,High,,,,,,,,,,,
Carboxin,5234-68-4,Jan-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,1 x 10 -1,Reduced weight gain; organ weight changes; increased mortality,NOEL: 1.0 x 101 mg/kg-day,100,High,,,,,,,,,,,
Cerium Oxide and Cerium Compounds,1306-38-3,Sep-29-2009,"(PDF 19 pp, 205 K)","(PDF 118 pp, 720 K)",No,Respiratory,None,,,Inhalation,,,,,,,Respiratory,9 x 10 -4,Increased incidence of alveolar epithelial hyperplasia in the lungs of male and female rats,BMCL (HEC): 0.86 mg/m3,1000,Low,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","In accordance with U.S. EPA (2005a) Guidelines for Carcinogen Risk Assessment, there is ""inadequate information to assess the carcinogenic potential"" of cerium in humans. This may be a synopsis of the full weight-of-evidence narrative.",,
Chloral hydrate,302-17-0,Sep-15-2000,"(PDF 39 pp, 220 K)","(PDF 69 pp, 148 K)",Yes,Gastrointestinal; Nervous,None,,,Oral,Nervous; Gastrointestinal,1 x 10 -1,CNS depression and GI irritation in humans,LOAEL: 1.07 x 101 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the 1986 cancer guidelines (U.S. EPA, 1986), chloral hydrate is assigned to Group C, possible human carcinogen. Under the 1996 proposed guidelines for carcinogen risk assessment (U.S. EPA, 1996), chloral hydrate shows suggestive evidence of human carcinogenicity by the oral route of exposure. There are no carcinogenicity data from humans. This may be a synopsis of the full weight-of-evidence narrative.",,
Chloral hydrate,302-17-0,Sep-15-2000,"(PDF 39 pp, 220 K)","(PDF 69 pp, 148 K)",Yes,Gastrointestinal; Nervous,None,,,Oral,Nervous; Gastrointestinal,1 x 10 -1,CNS depression and GI irritation in humans,LOAEL: 1.07 x 101 mg/kg-day,100,High,,,,,,,Carcinogenic potential cannot be determined (Oral route),"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the 1986 cancer guidelines (U.S. EPA, 1986), chloral hydrate is assigned to Group C, possible human carcinogen. Under the 1996 proposed guidelines for carcinogen risk assessment (U.S. EPA, 1996), chloral hydrate shows suggestive evidence of human carcinogenicity by the oral route of exposure. There are no carcinogenicity data from humans. This may be a synopsis of the full weight-of-evidence narrative.",,
Chloramben,133-90-4,Jan-31-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,1.5 x 10 -2,Hepatocyte degeneration,LEL: 1.5 x 101 mg/kg-day,1000,Medium,,,,,,,,,,,
Chlordane (Technical),12789-03-6,Feb-07-1998,"(PDF 46 pp, 262 K)","(PDF 73 pp, 228 K)",Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,5 x 10 -4,Hepatic necrosis,NOAEL: 1.5 x 10-1 mg/kg-day,300,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the 1996 Proposed Guidelines, chlordane would be characterized as a likely carcinogen by all routes of exposure. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.5 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)"
Chlordane (Technical),12789-03-6,Feb-07-1998,"(PDF 46 pp, 262 K)","(PDF 73 pp, 228 K)",Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,5 x 10 -4,Hepatic necrosis,NOAEL: 1.5 x 10-1 mg/kg-day,300,Medium,,,,,,,Known/likely human carcinogen,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the 1996 Proposed Guidelines, chlordane would be characterized as a likely carcinogen by all routes of exposure. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.5 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)"
Chlordane (Technical),12789-03-6,Feb-07-1998,"(PDF 46 pp, 262 K)","(PDF 73 pp, 228 K)",Yes,Hepatic,Hepatic,pesticide,,Inahlation,,,,,,,Hepatic,7 x 10 -4,Hepatic effects,NOAEL (HEC): 6.5 x 10-1 mg/m3,1000,Low,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the 1996 Proposed Guidelines, chlordane would be characterized as a likely carcinogen by all routes of exposure. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.5 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)"
Chlordane (Technical),12789-03-6,Feb-07-1998,"(PDF 46 pp, 262 K)","(PDF 73 pp, 228 K)",Yes,Hepatic,Hepatic,pesticide,,Inahlation,,,,,,,Hepatic,7 x 10 -4,Hepatic effects,NOAEL (HEC): 6.5 x 10-1 mg/m3,1000,Low,Known/likely human carcinogen,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the 1996 Proposed Guidelines, chlordane would be characterized as a likely carcinogen by all routes of exposure. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.5 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinoma (IRDC, 1973; NCI, 1977; Khasawinah and Grutsch, 1989b)"
Chlordecone (Kepone),143-50-0,Sep-22-2009,"(PDF 24 pp, 231 K)","(PDF 183 pp, 1.03 M)",No,Urinary,Hepatic,pesticide,,Oral,Urinary,3 x 10 -4,Renal lesions (glomerulosclerosis) in female Wistar rats,BMDL 10: 0.08 mg/kg-day,300,Medium,,,,,,,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the U.S. EPA Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), chlordecone is ""likely to be carcinogenic to humans"" based on data from an oral cancer bioassay in rats and mice demonstrating an increase in the incidence of hepatocellular carcinomas in both sexes of both species (NCI, 1976a, b). This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1 x 101 per mg/kg-day
Drinking Water Unit Risk: 3 x 10-4 per µg/L
Extrapolation Method: Multistage-Weibull model (implemented in TOX_RISK) with linear extrapolation from the POD (BMDL10).
Tumor site(s): Hepatic
Tumor type(s): liver hepatocellular carcinoma (NCI (1976a))",
Chlorimuron-ethyl,90982-32-4,Nov-01-1989,"(PDF 7 pp, 90 K)",Not Available,Yes,Hematologic,None,pesticide,archive,Oral,Hematologic,2 x 10 -2,Increase in WBC; decreased in RBC in females; increase in alkaline phosphatase in males,NOEL: 6.25 mg/kg-day,300,Medium,,,,,,,,,,,
Chlorine,7782-50-5,Jun-01-1994,"(PDF 14 pp, 120 K)",Not Available,Yes,None,None,,,Oral,None,1 x 10 -1,No observed adverse effects,NOAEL: 1.44 x 101 mg/kg-day,100,Medium,,,,,,,,,,,
Chlorine cyanide,506-77-4,Jan-31-1987,"(PDF 8 pp, 93 K)",Not Available,No,Endocrine; Nervous,None,,,Oral,Endocrine; Nervous; Other,5 x 10 -2,Weight loss; thyroid effects; and myelin degeneration,NOAEL: 2.53 x 101 mg/kg-day,100 MF: 5,Medium,,,,,,,,,,,
Chlorine dioxide,10049-04-4,Oct-11-2000,"(PDF 25 pp, 177 K)","(PDF 56 pp, 144 K)",Yes,Cardiovascular; Developmental; Nervous; Respiratory,None,,,Oral,Nervous; Developmental,3 x 10 -2,Neurodevelopmental effects,NOAEL: 3 mg/kg-day,100,Medium/High,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the current guidelines (U.S. EPA, 1986), chlorine dioxide is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorine dioxide cannot be determined because no satisfactory human or animal studies assessing the chronic carcinogenic potential of chlorine dioxide have been located. This may be a synopsis of the full weight-of-evidence narrative.",,
Chlorine dioxide,10049-04-4,Oct-11-2000,"(PDF 25 pp, 177 K)","(PDF 56 pp, 144 K)",Yes,Cardiovascular; Developmental; Nervous; Respiratory,None,,,Oral,Nervous; Developmental,3 x 10 -2,Neurodevelopmental effects,NOAEL: 3 mg/kg-day,100,Medium/High,,,,,,,Carcinogenic potential cannot be determined,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the current guidelines (U.S. EPA, 1986), chlorine dioxide is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorine dioxide cannot be determined because no satisfactory human or animal studies assessing the chronic carcinogenic potential of chlorine dioxide have been located. This may be a synopsis of the full weight-of-evidence narrative.",,
Chlorine dioxide,10049-04-4,Oct-11-2000,"(PDF 25 pp, 177 K)","(PDF 56 pp, 144 K)",Yes,Cardiovascular; Developmental; Nervous; Respiratory,None,,,Inahlation,,,,,,,Respiratory; Cardiovascular,2 x 10 -4,Vascular congestion and peribronchial edema,LOAEL (HEC): 6.4 x 10-1 mg/m3,3000,Low,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the current guidelines (U.S. EPA, 1986), chlorine dioxide is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorine dioxide cannot be determined because no satisfactory human or animal studies assessing the chronic carcinogenic potential of chlorine dioxide have been located. This may be a synopsis of the full weight-of-evidence narrative.",,
Chlorine dioxide,10049-04-4,Oct-11-2000,"(PDF 25 pp, 177 K)","(PDF 56 pp, 144 K)",Yes,Cardiovascular; Developmental; Nervous; Respiratory,None,,,Inahlation,,,,,,,Respiratory; Cardiovascular,2 x 10 -4,Vascular congestion and peribronchial edema,LOAEL (HEC): 6.4 x 10-1 mg/m3,3000,Low,Carcinogenic potential cannot be determined,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the current guidelines (U.S. EPA, 1986), chlorine dioxide is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorine dioxide cannot be determined because no satisfactory human or animal studies assessing the chronic carcinogenic potential of chlorine dioxide have been located. This may be a synopsis of the full weight-of-evidence narrative.",,
Chlorite (sodium salt),7758-19-2,Oct-11-2000,"(PDF 19 pp, 143 K)","(PDF 56 pp, 144 K)",No,Developmental; Nervous,None,,,Oral,Nervous; Developmental,3 x 10 -2,Neurodevelopmental effects,NOAEL: 3 mg/kg-day,100,Medium/High,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the current guidelines (U.S. EPA, 1986), chlorite is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorite cannot be determined because of a lack of human data and limitations in animal studies. This may be a synopsis of the full weight-of-evidence narrative.",,
Chlorite (sodium salt),7758-19-2,Oct-11-2000,"(PDF 19 pp, 143 K)","(PDF 56 pp, 144 K)",No,Developmental; Nervous,None,,,Oral,Nervous; Developmental,3 x 10 -2,Neurodevelopmental effects,NOAEL: 3 mg/kg-day,100,Medium/High,,,,,,,Carcinogenic potential cannot be determined,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the current guidelines (U.S. EPA, 1986), chlorite is classified as Group D; not classifiable as to human carcinogenicity because of inadequate data in humans and animals. Under the draft Carcinogen Assessment Guidelines (U.S. EPA, 1996), the human carcinogenicity of chlorite cannot be determined because of a lack of human data and limitations in animal studies. This may be a synopsis of the full weight-of-evidence narrative.",,
"1-Chloro-1,1-difluoroethane",75-68-3,Jul-01-1995,"(PDF 10 pp, 110 K)",Not Available,No,None,None,,,Inhalation,,,,,,,Other,5 x 10 1,No adverse effects,NOAEL (HEC): 1.4710 x 104 mg/m3,300,Medium,,,,,
2-Chloroacetophenone,532-27-4,Oct-01-1991,"(PDF 12 pp, 118 K)",Not Available,Yes,Respiratory,None,,,Inhalation,,,,,,,Respiratory,3 x 10 -5,Squamous hyperplasia of the nasal respiratory epithelium,LOAEL (HEC): 3 x 10-2 mg/m3,1000,Low,,,,,
p-Chloroaniline,106-47-8,Aug-22-1988,"(PDF 6 pp, 86 K)",Not Available,Yes,Immune,None,,,Oral,Immune,4 x 10 -3,Nonneoplastic lesions of splenic capsule,LOAEL: 1.25 x 101 mg/kg-day,3000,Low,,,,,,,,,,,
Chlorobenzene,108-90-7,Nov-01-1990,"(PDF 13 pp, 114 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,2 x 10 -2,Histopathologic changes in liver,NOAEL: 1.9 x 101 mg/kg-day,1000,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","No human data, inadequate animal data and predominantly negative genetic toxicity data in bacterial, yeast, and mouse lymphoma cells. This may be a synopsis of the full weight-of-evidence narrative.",,
